Descriptor                  coef    stderr          t      pvals      y      z
GATS1pe        -0.0004      0.001     -0.440      0.664      -0.002       0.001
GATS7i          0.0010      0.006      0.183      0.857      -0.011       0.013
BalabanJ     1.804e-09    4.1e-09      0.440      0.664   -6.67e-09    1.03e-08
BertzCT         0.0067      0.317      0.021      0.983      -0.647       0.661
nBonds         -0.0005      0.008     -0.065      0.948      -0.017       0.016
nBondsA        -0.0119      0.020     -0.608      0.549      -0.052       0.029
RNCG            0.0002      0.001      0.291      0.773      -0.001       0.002
C1SP3          -0.0125      0.017     -0.724      0.476      -0.048       0.023
HybRatio       -0.0010      0.000     -2.733      0.012      -0.002      -0.000
FCSP3          -0.0010      0.000     -2.733      0.012      -0.002      -0.000
Xch-6d         -0.0002      0.000     -0.502      0.620      -0.001       0.001
Xch-7d         -0.0003      0.001     -0.448      0.658      -0.002       0.001
Xch-6dv     -6.642e-05      0.000     -0.402      0.692      -0.000       0.000
Xpc-6d         -0.0018      0.003     -0.605      0.551      -0.008       0.004
Xpc-4dv         0.0001      0.002      0.072      0.943      -0.004       0.004
Xpc-5dv        -0.0004      0.002     -0.182      0.857      -0.005       0.004
Xpc-6dv        -0.0006      0.004     -0.141      0.889      -0.009       0.008
Xp-4d          -0.0010      0.002     -0.423      0.676      -0.006       0.004
Xp-5d          -0.0009      0.002     -0.413      0.684      -0.006       0.004
AXp-3d       -2.36e-05   7.93e-05     -0.297      0.769      -0.000       0.000
AXp-6d      -8.223e-06   1.22e-05     -0.672      0.508   -3.35e-05     1.7e-05
SZ              0.0010      0.003      0.322      0.750      -0.006       0.008
Sm           -2.36e-05      0.002     -0.012      0.990      -0.004       0.004
Sv             -0.0009      0.003     -0.285      0.778      -0.007       0.006
Sp             -0.0014      0.007     -0.204      0.840      -0.015       0.012
Mv           2.808e-06      0.000      0.012      0.990      -0.000       0.000
NaaCH          -0.0095      0.015     -0.636      0.531      -0.040       0.021
NaasC          -0.0019      0.003     -0.655      0.519      -0.008       0.004
NssssC         -0.0034      0.003     -1.254      0.222      -0.009       0.002
NsBr        -6.698e-05      0.001     -0.105      0.917      -0.001       0.001
SssssC          0.0144      0.012      1.240      0.227      -0.010       0.038
SsssN           0.0007      0.001      0.505      0.618      -0.002       0.003
SaaS           -0.0002      0.001     -0.255      0.801      -0.002       0.002
SsBr           -0.0002      0.002     -0.105      0.917      -0.005       0.004
MAXssS         -0.0002      0.001     -0.216      0.831      -0.002       0.002
MAXaaS         -0.0002      0.001     -0.255      0.801      -0.002       0.002
MINaasC        -0.0052      0.009     -0.563      0.579      -0.024       0.014
MINaaS         -0.0002      0.001     -0.255      0.801      -0.002       0.002
fragCpx        -0.0003      0.060     -0.005      0.996      -0.123       0.123
fMF            -0.0002      0.001     -0.239      0.813      -0.002       0.002
IC1             0.0012      0.009      0.135      0.894      -0.016       0.019
IC4            -0.0009      0.002     -0.513      0.612      -0.005       0.003
IC5            -0.0009      0.002     -0.513      0.612      -0.005       0.003
TIC4            0.0718      0.086      0.839      0.410      -0.105       0.249
TIC5            0.0718      0.086      0.839      0.410      -0.105       0.249
SIC1            0.0002      0.002      0.115      0.910      -0.004       0.004
CIC1           -0.0024      0.009     -0.259      0.798      -0.022       0.017
Kier1           0.0041      0.007      0.584      0.565      -0.010       0.019
Kier3           0.0005      0.003      0.163      0.872      -0.006       0.007
VMcGowan        0.0173      0.009      1.903      0.069      -0.001       0.036
LabuteASA      -0.0007      0.008     -0.089      0.930      -0.017       0.015
PEOE_VSA10     -0.0768      0.133     -0.579      0.568      -0.351       0.197
SlogP_VSA1      0.0248      0.044      0.560      0.580      -0.067       0.116
SlogP_VSA4      0.0025      0.060      0.042      0.967      -0.121       0.126
VSA_EState1    -0.1348      0.088     -1.523      0.141      -0.317       0.048
MDEC-11        -0.0027      0.006     -0.434      0.668      -0.016       0.010
MDEC-12         0.0163      0.073      0.222      0.826      -0.135       0.167
MPC4           -0.0086      0.021     -0.408      0.687      -0.052       0.035
MPC5           -0.0145      0.029     -0.494      0.626      -0.075       0.046
piPC1          -0.0005      0.002     -0.331      0.744      -0.004       0.003
piPC3          -0.0008      0.003     -0.285      0.778      -0.007       0.005
piPC6          -0.0010      0.004     -0.252      0.803      -0.009       0.007
piPC7          -0.0010      0.004     -0.260      0.797      -0.009       0.007
apol           -0.0023      0.011     -0.204      0.840      -0.025       0.021
nRing          -0.0021      0.004     -0.567      0.576      -0.010       0.006
n6Ring         -0.0019      0.003     -0.645      0.525      -0.008       0.004
naRing         -0.0020      0.003     -0.602      0.553      -0.009       0.005
n6aRing        -0.0019      0.003     -0.645      0.525      -0.008       0.004
RotRatio       -0.0002      0.000     -0.413      0.683      -0.001       0.001
GGI4           -0.0005      0.001     -0.567      0.576      -0.002       0.001
JGI2         4.731e-05      0.000      0.321      0.751      -0.000       0.000
JGI3         6.399e-05      0.000      0.393      0.698      -0.000       0.000
JGI10       -3.649e-05      0.000     -0.279      0.783      -0.000       0.000
VAdjMat        -0.0012      0.003     -0.370      0.715      -0.008       0.006
MWC02          -0.0009      0.003     -0.315      0.755      -0.007       0.005
MWC03          -0.0010      0.003     -0.319      0.753      -0.008       0.005
MWC04          -0.0011      0.004     -0.303      0.765      -0.009       0.006
MWC05          -0.0012      0.004     -0.300      0.767      -0.009       0.007
MWC06          -0.0013      0.004     -0.295      0.770      -0.010       0.008
MWC07          -0.0014      0.005     -0.290      0.775      -0.011       0.008
MWC08          -0.0015      0.005     -0.288      0.776      -0.012       0.009
MWC09          -0.0016      0.006     -0.283      0.780      -0.013       0.010
MWC10          -0.0017      0.006     -0.282      0.780      -0.014       0.011
TMWC10         -0.0112      0.039     -0.285      0.778      -0.092       0.070
SRW02          -0.0008      0.002     -0.368      0.716      -0.005       0.004
SRW04          -0.0009      0.003     -0.303      0.764      -0.007       0.005
SRW06          -0.0011      0.004     -0.306      0.762      -0.009       0.006
SRW08          -0.0013      0.004     -0.307      0.762      -0.010       0.007
SRW09          -0.0007      0.003     -0.255      0.801      -0.007       0.005
SRW10          -0.0015      0.005     -0.303      0.765      -0.012       0.009
TSRW10         -0.0061      0.023     -0.268      0.791      -0.053       0.041
MW              0.0002      0.023      0.009      0.993      -0.046       0.047
